ic_knee_distance,ic_ankle_distance,ic_hip_distance,ic_shoulder_distance,ic_knee_shoulder_width_ratio,ic_ankle_shoulder_width_ratio,ic_knee_ankle_width_ratio,ic_left_knee_medial_offset_ratio,ic_right_knee_medial_offset_ratio,ic_knee_center_ankle_center_offset_ratio,ic_left_hip_knee_ankle_frontal_angle,ic_right_hip_knee_ankle_frontal_angle,ic_shoulder_tilt_degrees,ic_hip_tilt_degrees,ic_trunk_lateral_lean_degrees,ic_left_right_ankle_y_difference_ratio,ic_left_right_knee_y_difference_ratio,ic_body_center_x_over_ankle_center_offset_ratio,kfmax_knee_distance,kfmax_ankle_distance,kfmax_hip_distance,kfmax_shoulder_distance,kfmax_knee_shoulder_width_ratio,kfmax_ankle_shoulder_width_ratio,kfmax_knee_ankle_width_ratio,kfmax_left_knee_medial_offset_ratio,kfmax_right_knee_medial_offset_ratio,kfmax_knee_center_ankle_center_offset_ratio,kfmax_left_hip_knee_ankle_frontal_angle,kfmax_right_hip_knee_ankle_frontal_angle,kfmax_shoulder_tilt_degrees,kfmax_hip_tilt_degrees,kfmax_trunk_lateral_lean_degrees,kfmax_left_right_ankle_y_difference_ratio,kfmax_left_right_knee_y_difference_ratio,kfmax_body_center_x_over_ankle_center_offset_ratio,crop_length_frames,subject_id,task_index,initial_contact_frame,max_knee_flexion_frame,takeoff_frame,total_frames
0.2431663707092135,0.30369802619859115,0.19537521951047923,0.6182475359601356,0.3933155517256971,0.4912239977260071,0.8006847253929947,-0.060959164067151995,-0.03911959654432834,-0.01091978376141183,177.0552567224649,179.8243581373453,1.528028447529806,15.412044181793163,3.715622453844176,0.034647669748336274,0.05155684938771916,-0.005226905904014225,0.24977618683813535,0.31986124065429866,0.21042472919063826,0.49022867092367123,0.5095095445305474,0.6524735488269742,0.7808891953498355,-0.08151443308925652,-0.061952468295709544,-0.009780982396773484,175.12709342123833,177.54134900778786,0.15854690160290374,15.64387087872197,19.867464789081026,0.0018522926435938132,0.02269108642376328,0.0209787081691954,251,1132,6,168,418,492,551
0.2491188395110569,0.23869871424441205,0.19416018581556194,0.6121797573056117,0.40693740120957983,0.3899160522637947,1.0436538810006966,-0.026039313639994337,0.04091021251743041,-0.033474763078712375,174.8364913918945,176.03380835938168,1.959635596336824,3.2559035004981354,1.1623298705522132,0.0202290560552161,0.04658760391804305,-0.07884978202891822,0.294060681156874,0.2178298208410636,0.2304788691511091,0.4992483047423931,0.5890068696549831,0.4363155944084006,1.3499560345845907,0.10435877507024138,0.048753019162267056,0.027802877953987164,159.10261098720082,174.1668372958613,6.079448076686788,7.586917302723208,1.9655643462070316,0.021273945958273324,0.010767584301728781,-0.025108206089477943,66,1134,6,61,126,155,176
0.2924952613231743,0.22952629364813365,0.19876438995432258,0.5775639097678613,0.5064292563583762,0.3974041482965695,1.2743431555234923,0.057272461158854274,0.04266317972837412,0.007304640715240077,164.76935069205268,173.44946979553032,1.0692261155028007,11.148267598291909,4.976752469957503,0.0025021892690714974,0.09555920261833202,-0.04618826244328078,0.266677583332491,0.20537670699795535,0.2142588104577492,0.5666859711149463,0.4705914685126345,0.36241713659132885,1.2984801793279601,0.07500181746419504,0.032812724861895085,0.021094546301149982,157.95271177538004,177.69299924254705,1.5580548717239537,9.95557101531054,11.390581556483724,0.017812784722919497,0.027390547944068568,-0.08261943915004524,59,1136,6,53,111,134,189
0.28141240147059415,0.2967323839762598,0.1963594533521024,0.6289750034388365,0.4474142850383713,0.4717713460056684,0.9483710463267423,0.014877777915878621,-0.03711461735240865,0.02599619763414364,172.36320295956202,178.4886669834865,3.2937157452563497,0.19694802861511107,7.535739064405675,0.04740245384852881,0.015462286754806367,0.019146976269982775,0.19317250701097344,0.38900852216372594,0.20705487346349039,0.5154579573076451,0.3747589968733001,0.7546852592898294,0.49657654268476664,-0.0784549852989963,-0.2973876499128097,0.10946633230690671,169.81056597302785,148.77795358090557,0.3107309120179025,0.17163337817646607,4.859502209329847,0.08764652834676133,0.027673265242074075,0.12552306490946602,66,1138,6,159,224,246,330
0.28976125831092414,0.2917634817315111,0.19651373853980567,0.5937587255747289,0.4880117896885636,0.4913839058939279,0.9931375119027765,0.041843000167802236,-0.04451389524288697,0.043178447705344604,170.75455492923953,177.00002458894642,1.4686040153310955,0.2521961722349033,0.21388524731942482,0.03049002562464391,0.015481721337732386,0.05244425197814871,0.29249099161472214,0.33328768421382243,0.22777152403531495,0.677294280213914,0.4318521507701835,0.4920869612372308,0.8775931589091454,-0.0030174391212793553,-0.05798219931250904,0.027482380095614843,165.44536000808466,174.25271946952094,3.625884293272861,3.143331597179724,15.824989997430635,0.0076244075289910165,0.02666318332593729,-0.015209807259498415,71,1140,6,58,128,151,160
0.2734641822496125,0.22286284370841003,0.19008045014492966,0.6717591563886319,0.407086646529319,0.3317600386818955,1.2270514801803767,0.1365085698460322,-0.06046599167825993,0.09848728076214606,161.1398100614646,177.93813298224978,0.8889089880745757,1.1393715192269838,4.1849815386381835,0.06048304986473806,0.06261263911655397,0.12174218066733972,0.42085628838667344,0.4427564624804372,0.22097835207524041,0.364187446207289,1.1556035024533207,1.2157378489878756,0.9505367488685015,-0.0011139022406346454,-0.05973932920472997,0.02931271348204766,164.65805236628466,158.1252951658969,3.6269354069062274,9.823353857393641,7.119223828373208,0.06170512689060167,0.07264840626435937,0.07246653126147548,63,1142,6,246,308,346,379
0.31757520228708846,0.3043966984625927,0.22905388302514557,0.5850037526930305,0.5428601112815937,0.5203328988255551,1.0432938461259798,0.02389524691751163,0.016856652162985552,0.00351929737726304,172.93549612137284,171.93248479060048,1.4085879119726314,1.6690938966719386,5.040467449922957,0.14211164098395362,0.04109775026601245,0.014521852589867466,0.36604208670793936,0.4289375335955367,0.24439779605836437,0.6578733303733295,0.5564020759136383,0.6520062659359113,0.8533692158846977,-0.04556769103647949,-0.05053685867966994,0.00248458382159523,172.69558593859833,175.05454533220288,0.13735178186917096,3.444588069665514,6.2871452391303535,0.0024800034653913107,0.023702232772854374,-0.0049956262608542665,65,1144,6,88,152,173,186
0.2986852745026886,0.3059362621010114,0.22064332967022338,0.6820217674593752,0.437940970147232,0.44857257744230955,0.9762990253312022,-0.00699969538230627,-0.003912719034144269,-0.0015434881740810005,178.774940704946,172.74077375204263,1.9863271473868735,2.1543807207052623,0.6549477057905619,0.011781854127673972,0.019527151851670217,0.033920372980525054,0.3126524499360182,0.3259828911455634,0.26094763238704005,0.6503277702360677,0.48076133950504063,0.5012593742186839,0.9591069299290537,0.020671975000095537,-0.04116994633114123,0.030920960665618384,174.7892017628498,178.14196583537864,0.8501344520224734,5.244364821035305,9.242271800141381,0.00918695379029764,0.008993748768250197,0.046344573484139825,77,1145,6,87,163,189,222
0.27047390200522486,0.22554285269504046,0.22127616510571532,0.5803900360033285,0.4660209259754999,0.38860565947715026,1.199212915742164,0.03491178125543475,0.021462007192835805,0.006724887031299473,177.59294610495292,171.11886811914593,1.998988010886137,7.641849679163016,1.8853898995598115,0.03596982294241323,0.14370357623202418,0.051001794238229654,0.3218323469458924,0.3039306954098772,0.24950018408634367,0.5831038883617661,0.5519296876069243,0.5212290665112392,1.0589004394961596,-0.006478090327556255,0.03255577267058065,-0.019516931499068454,174.48519885086543,162.24772392078467,1.0709752363802352,3.0858193362591635,11.261636233037265,0.007971901970681424,0.07175258648459965,0.002106771459599385,63,1147,6,167,229,267,331
0.31237810839864444,0.3600189654352489,0.22010843687592466,0.5467017024477361,0.5713867489346393,0.6585290732100221,0.8676712573211011,-0.0519457440706347,-0.038206695455772426,-0.006869524307431137,176.5960801075542,177.3858658649547,2.239320939627305,3.363521903603157,6.972623729646401,0.005278925019728717,0.05877815187346219,-0.01522577347697667,0.35527853869549436,0.39953504553079816,0.2531078565562283,0.6154018246787453,0.577311480805177,0.6492262933074097,0.8892299753667234,0.002931311708522956,-0.07457680665869644,0.0387540591836097,161.7261278025454,174.20433836649508,0.6256710020230969,1.173281017460738,6.992805767813678,0.018959237919433672,0.0029570266683317395,0.028560993858101055,68,1151,6,137,204,245,260
